pc,count,frequency
0x0000,1,0.000000066275
0x0001,1,0.000000066275
0x0002,1,0.000000066275
0x0003,1,0.000000066275
0x0004,1,0.000000066275
0x0005,1,0.000000066275
0x0006,1,0.000000066275
0x0007,1,0.000000066275
0x0008,1,0.000000066275
0x000b,1,0.000000066275
0x000d,1,0.000000066275
0x000f,1,0.000000066275
0x0012,1,0.000000066275
0x0015,1,0.000000066275
0x0017,1,0.000000066275
0x001a,8227,0.000545240768
0x001d,8226,0.000545174493
0x0020,8226,0.000545174493
0x0021,8226,0.000545174493
0x0024,7941,0.000526286245
0x0027,7941,0.000526286245
0x002a,7941,0.000526286245
0x002d,285,0.000018888248
0x002f,285,0.000018888248
0x0031,285,0.000018888248
0x0032,285,0.000018888248
0x0034,285,0.000018888248
0x0035,285,0.000018888248
0x0038,285,0.000018888248
0x0039,285,0.000018888248
0x003c,285,0.000018888248
0x003d,285,0.000018888248
0x0040,95,0.000006296083
0x0043,95,0.000006296083
0x0046,190,0.000012592166
0x0049,190,0.000012592166
0x0050,1,0.000000066275
0x0052,1,0.000000066275
0x0054,1,0.000000066275
0x0056,1,0.000000066275
0x0058,1,0.000000066275
0x005a,1,0.000000066275
0x005c,1,0.000000066275
0x005f,1,0.000000066275
0x0061,1,0.000000066275
0x0063,1,0.000000066275
0x0066,1,0.000000066275
0x0068,1,0.000000066275
0x006a,1,0.000000066275
0x006b,2,0.000000132549
0x006e,2,0.000000132549
0x0070,6130,0.000406263025
0x0072,6130,0.000406263025
0x0073,6130,0.000406263025
0x0074,6130,0.000406263025
0x0077,2,0.000000132549
0x0080,733454,0.048609337807
0x0082,733454,0.048609337807
0x0083,733453,0.048609271532
0x0085,733453,0.048609271532
0x0088,16760,0.001110761550
0x0089,16760,0.001110761550
0x008b,16760,0.001110761550
0x008e,8422,0.000558164306
0x0090,8422,0.000558164306
0x0091,8422,0.000558164306
0x0094,8422,0.000558164306
0x0095,8422,0.000558164306
0x0096,8422,0.000558164306
0x0097,8422,0.000558164306
0x0098,8422,0.000558164306
0x009a,8422,0.000558164306
0x009d,8422,0.000558164306
0x009f,8422,0.000558164306
0x00a0,8422,0.000558164306
0x00a2,8422,0.000558164306
0x00a3,8422,0.000558164306
0x00a6,8422,0.000558164306
0x00a8,8422,0.000558164306
0x00ab,8422,0.000558164306
0x00ac,2,0.000000132549
0x00ae,2,0.000000132549
0x00af,2,0.000000132549
0x00b0,2,0.000000132549
0x00b2,2,0.000000132549
0x00b5,2,0.000000132549
0x00bb,17569,0.001164377665
0x00be,17569,0.001164377665
0x00bf,17569,0.001164377665
0x00c0,17569,0.001164377665
0x00c1,17569,0.001164377665
0x00c2,17569,0.001164377665
0x00c3,17569,0.001164377665
0x00c4,1361,0.000090199670
0x00c5,1361,0.000090199670
0x00c7,1361,0.000090199670
0x00c9,1361,0.000090199670
0x00ca,1361,0.000090199670
0x00cd,1361,0.000090199670
0x00ce,1361,0.000090199670
0x00cf,1361,0.000090199670
0x00d0,1361,0.000090199670
0x00d1,1361,0.000090199670
0x00d2,1361,0.000090199670
0x00d3,1361,0.000090199670
0x00d4,1361,0.000090199670
0x00d6,1361,0.000090199670
0x00d8,1361,0.000090199670
0x00d9,1361,0.000090199670
0x00dc,1361,0.000090199670
0x00dd,1361,0.000090199670
0x00de,1361,0.000090199670
0x00e1,485,0.000032143159
0x00e3,190,0.000012592166
0x00e6,190,0.000012592166
0x00e9,190,0.000012592166
0x00ec,190,0.000012592166
0x00ef,190,0.000012592166
0x00f2,189,0.000012525891
0x00f5,189,0.000012525891
0x00f8,189,0.000012525891
0x00fb,189,0.000012525891
0x0140,98,0.000006494906
0x0143,98,0.000006494906
0x0146,98,0.000006494906
0x0149,98,0.000006494906
0x014c,98,0.000006494906
0x014e,98,0.000006494906
0x014f,98,0.000006494906
0x0151,98,0.000006494906
0x0152,98,0.000006494906
0x0153,98,0.000006494906
0x0154,98,0.000006494906
0x0156,98,0.000006494906
0x0158,98,0.000006494906
0x015b,98,0.000006494906
0x015d,98,0.000006494906
0x015f,98,0.000006494906
0x0161,98,0.000006494906
0x0164,98,0.000006494906
0x0166,98,0.000006494906
0x0167,98,0.000006494906
0x0168,98,0.000006494906
0x016a,98,0.000006494906
0x016b,98,0.000006494906
0x016d,98,0.000006494906
0x016f,98,0.000006494906
0x0172,98,0.000006494906
0x0196,189,0.000012525891
0x0197,189,0.000012525891
0x0199,189,0.000012525891
0x019b,189,0.000012525891
0x019c,155,0.000010272556
0x019d,155,0.000010272556
0x019e,155,0.000010272556
0x01a0,155,0.000010272556
0x01a1,155,0.000010272556
0x01a2,155,0.000010272556
0x01a3,155,0.000010272556
0x01a5,155,0.000010272556
0x01a6,155,0.000010272556
0x01a7,155,0.000010272556
0x01a8,155,0.000010272556
0x01ab,155,0.000010272556
0x01ae,155,0.000010272556
0x01af,155,0.000010272556
0x01b0,155,0.000010272556
0x01b1,155,0.000010272556
0x01b2,155,0.000010272556
0x01b3,155,0.000010272556
0x01b4,155,0.000010272556
0x01b5,155,0.000010272556
0x01b6,155,0.000010272556
0x01b7,155,0.000010272556
0x01b8,155,0.000010272556
0x01b9,155,0.000010272556
0x01ba,155,0.000010272556
0x01bb,155,0.000010272556
0x01bd,155,0.000010272556
0x01be,155,0.000010272556
0x01c1,1925,0.000127578519
0x01c4,1925,0.000127578519
0x01c5,1925,0.000127578519
0x01c8,155,0.000010272556
0x01c9,155,0.000010272556
0x01ca,155,0.000010272556
0x01d0,1164,0.000077143583
0x01d1,1164,0.000077143583
0x01d2,1164,0.000077143583
0x01d3,1164,0.000077143583
0x01d4,1164,0.000077143583
0x01d6,1164,0.000077143583
0x01d7,1164,0.000077143583
0x01d9,1164,0.000077143583
0x01dc,1164,0.000077143583
0x01dd,1164,0.000077143583
0x01e0,813,0.000053881214
0x01e1,1,0.000000066275
0x01e4,127,0.000008416869
0x01e7,127,0.000008416869
0x01e9,127,0.000008416869
0x01ed,30264,0.002005733147
0x01ee,30264,0.002005733147
0x01ef,30264,0.002005733147
0x01f0,30264,0.002005733147
0x01f3,30264,0.002005733147
0x01f4,30264,0.002005733147
0x01f7,1164,0.000077143583
0x0200,8612,0.000570756472
0x0201,8612,0.000570756472
0x0202,24,0.000001590589
0x0203,24,0.000001590589
0x0204,24,0.000001590589
0x0205,24,0.000001590589
0x0206,155,0.000010272556
0x0207,155,0.000010272556
0x0208,155,0.000010272556
0x0209,155,0.000010272556
0x020a,155,0.000010272556
0x020b,155,0.000010272556
0x020c,155,0.000010272556
0x020d,155,0.000010272556
0x020e,155,0.000010272556
0x0210,6148,0.000407455967
0x0211,6148,0.000407455967
0x0213,6148,0.000407455967
0x0214,6148,0.000407455967
0x0215,655,0.000043409834
0x0216,655,0.000043409834
0x0217,61371,0.004067335744
0x0218,61371,0.004067335744
0x021a,61371,0.004067335744
0x021b,61371,0.004067335744
0x021c,11833,0.000784226815
0x021d,11833,0.000784226815
0x0220,57,0.000003777650
0x0221,57,0.000003777650
0x0222,57,0.000003777650
0x0223,57,0.000003777650
0x0224,57,0.000003777650
0x0225,57,0.000003777650
0x0226,57,0.000003777650
0x0227,57,0.000003777650
0x0228,57,0.000003777650
0x0229,57,0.000003777650
0x022a,57,0.000003777650
0x022b,57,0.000003777650
0x022c,57,0.000003777650
0x022e,57,0.000003777650
0x022f,57,0.000003777650
0x0230,57,0.000003777650
0x0231,57,0.000003777650
0x0232,57,0.000003777650
0x0258,190,0.000012592166
0x0259,190,0.000012592166
0x025a,190,0.000012592166
0x025b,1,0.000000066275
0x025c,1,0.000000066275
0x025d,1,0.000000066275
0x025e,1,0.000000066275
0x025f,1,0.000000066275
0x0260,189,0.000012525891
0x0263,189,0.000012525891
0x0264,189,0.000012525891
0x0267,189,0.000012525891
0x0270,189,0.000012525891
0x0271,189,0.000012525891
0x0272,189,0.000012525891
0x0273,189,0.000012525891
0x0274,189,0.000012525891
0x0275,189,0.000012525891
0x0276,189,0.000012525891
0x0277,189,0.000012525891
0x0278,189,0.000012525891
0x0279,189,0.000012525891
0x027a,189,0.000012525891
0x027b,189,0.000012525891
0x027c,189,0.000012525891
0x027d,189,0.000012525891
0x0288,95,0.000006296083
0x028b,95,0.000006296083
0x028e,95,0.000006296083
0x0290,95,0.000006296083
0x0293,95,0.000006296083
0x0295,95,0.000006296083
0x0298,95,0.000006296083
0x029a,95,0.000006296083
0x029d,86,0.000005699612
0x02a0,86,0.000005699612
0x02a2,86,0.000005699612
0x02a5,86,0.000005699612
0x02a7,95,0.000006296083
0x02aa,95,0.000006296083
0x02ab,95,0.000006296083
0x02ac,95,0.000006296083
0x02ad,1,0.000000066275
0x02b0,1,0.000000066275
0x02b3,1,0.000000066275
0x02b6,1,0.000000066275
0x02b9,1,0.000000066275
0x02bc,1,0.000000066275
0x02be,1,0.000000066275
0x02c0,1,0.000000066275
0x02c3,1,0.000000066275
0x02c5,1,0.000000066275
0x02c7,1,0.000000066275
0x02cb,1,0.000000066275
0x02cd,1,0.000000066275
0x02cf,1,0.000000066275
0x02d2,1,0.000000066275
