pc,count,frequency
0x0000,1,0.000000098413
0x0001,1,0.000000098413
0x0002,1,0.000000098413
0x0003,1,0.000000098413
0x0004,1,0.000000098413
0x0005,1,0.000000098413
0x0006,1,0.000000098413
0x0007,1,0.000000098413
0x0008,1,0.000000098413
0x000b,1,0.000000098413
0x000d,1,0.000000098413
0x000f,1,0.000000098413
0x0012,1,0.000000098413
0x0015,1,0.000000098413
0x0017,1,0.000000098413
0x001a,5838,0.000574533804
0x001d,5838,0.000574533804
0x0020,5838,0.000574533804
0x0021,5838,0.000574533804
0x0024,2277,0.000224085898
0x0027,2277,0.000224085898
0x002a,2277,0.000224085898
0x002d,3561,0.000350447906
0x002f,3561,0.000350447906
0x0031,3561,0.000350447906
0x0032,3561,0.000350447906
0x0034,3561,0.000350447906
0x0035,3561,0.000350447906
0x0038,3561,0.000350447906
0x0039,3561,0.000350447906
0x003c,3561,0.000350447906
0x003d,3561,0.000350447906
0x0040,7,0.000000688889
0x0043,7,0.000000688889
0x0046,3554,0.000349759017
0x0049,3553,0.000349660604
0x0050,1,0.000000098413
0x0052,1,0.000000098413
0x0054,1,0.000000098413
0x0056,1,0.000000098413
0x0058,1,0.000000098413
0x005a,1,0.000000098413
0x005c,1,0.000000098413
0x005f,1,0.000000098413
0x0061,1,0.000000098413
0x0063,1,0.000000098413
0x0066,1,0.000000098413
0x0068,1,0.000000098413
0x006a,1,0.000000098413
0x006b,2,0.000000196826
0x006e,2,0.000000196826
0x0070,6130,0.000603270335
0x0072,6130,0.000603270335
0x0073,6130,0.000603270335
0x0074,6130,0.000603270335
0x0077,2,0.000000196826
0x0078,288,0.000028342880
0x007b,288,0.000028342880
0x0080,876335,0.086242562700
0x0082,876335,0.086242562700
0x0083,876335,0.086242562700
0x0085,876335,0.086242562700
0x0088,11719,0.001153299357
0x0089,11719,0.001153299357
0x008b,11719,0.001153299357
0x008e,5862,0.000576895711
0x0090,5862,0.000576895711
0x0091,5862,0.000576895711
0x0094,5862,0.000576895711
0x0095,5862,0.000576895711
0x0096,5862,0.000576895711
0x0097,5862,0.000576895711
0x0098,5862,0.000576895711
0x009a,5862,0.000576895711
0x009d,5862,0.000576895711
0x009f,5862,0.000576895711
0x00a0,5862,0.000576895711
0x00a2,5862,0.000576895711
0x00a3,5862,0.000576895711
0x00a6,5862,0.000576895711
0x00a8,5862,0.000576895711
0x00ab,5862,0.000576895711
0x00ac,1,0.000000098413
0x00ae,1,0.000000098413
0x00af,1,0.000000098413
0x00b0,1,0.000000098413
0x00b2,1,0.000000098413
0x00b5,1,0.000000098413
0x00bb,10232,0.001006959555
0x00be,10232,0.001006959555
0x00bf,10232,0.001006959555
0x00c0,10232,0.001006959555
0x00c1,10232,0.001006959555
0x00c2,10232,0.001006959555
0x00c3,10232,0.001006959555
0x00c4,1048,0.000103136592
0x00c5,1048,0.000103136592
0x00c7,1048,0.000103136592
0x00c9,1048,0.000103136592
0x00ca,1048,0.000103136592
0x00cd,1048,0.000103136592
0x00ce,1048,0.000103136592
0x00cf,1048,0.000103136592
0x00d0,1048,0.000103136592
0x00d1,1048,0.000103136592
0x00d2,1048,0.000103136592
0x00d3,1048,0.000103136592
0x00d4,1048,0.000103136592
0x00d6,1048,0.000103136592
0x00d8,1048,0.000103136592
0x00d9,1048,0.000103136592
