pc,count,frequency
0x0000,1,0.000000033948
0x0001,1,0.000000033948
0x0002,1,0.000000033948
0x0003,1,0.000000033948
0x0004,1,0.000000033948
0x0005,1,0.000000033948
0x0006,1,0.000000033948
0x0007,1,0.000000033948
0x0008,1,0.000000033948
0x000b,1,0.000000033948
0x000d,1,0.000000033948
0x000f,1,0.000000033948
0x0012,1,0.000000033948
0x0015,1,0.000000033948
0x0017,1,0.000000033948
0x001a,16570,0.000562520486
0x001d,16570,0.000562520486
0x0020,16570,0.000562520486
0x0021,16570,0.000562520486
0x0024,8113,0.000275421165
0x0027,8113,0.000275421165
0x002a,8113,0.000275421165
0x002d,8457,0.000287099321
0x002f,8457,0.000287099321
0x0031,8457,0.000287099321
0x0032,8457,0.000287099321
0x0034,8457,0.000287099321
0x0035,8457,0.000287099321
0x0038,8457,0.000287099321
0x0039,8457,0.000287099321
0x003c,8457,0.000287099321
0x003d,8457,0.000287099321
0x0040,95,0.000003225072
0x0043,95,0.000003225072
0x0046,8362,0.000283874249
0x0049,8361,0.000283840301
0x0050,1,0.000000033948
0x0052,1,0.000000033948
0x0054,1,0.000000033948
0x0056,1,0.000000033948
0x0058,1,0.000000033948
0x005a,1,0.000000033948
0x005c,1,0.000000033948
0x005f,1,0.000000033948
0x0061,1,0.000000033948
0x0063,1,0.000000033948
0x0066,1,0.000000033948
0x0068,1,0.000000033948
0x006a,1,0.000000033948
0x006b,2,0.000000067896
0x006e,2,0.000000067896
0x0070,6130,0.000208102026
0x0072,6130,0.000208102026
0x0073,6130,0.000208102026
0x0074,6130,0.000208102026
0x0077,2,0.000000067896
0x0078,576,0.000019554122
0x007b,576,0.000019554122
0x0080,1876724,0.063711267095
0x0082,1876724,0.063711267095
0x0083,1876724,0.063711267095
0x0085,1876724,0.063711267095
0x0088,33442,0.001135293306
0x0089,33442,0.001135293306
0x008b,33442,0.001135293306
0x008e,16774,0.000569445904
0x0090,16774,0.000569445904
0x0091,16774,0.000569445904
0x0094,16774,0.000569445904
0x0095,16774,0.000569445904
0x0096,16774,0.000569445904
0x0097,16774,0.000569445904
0x0098,16774,0.000569445904
0x009a,16774,0.000569445904
0x009d,16774,0.000569445904
0x009f,16774,0.000569445904
0x00a0,16774,0.000569445904
0x00a2,16774,0.000569445904
0x00a3,16774,0.000569445904
0x00a6,16774,0.000569445904
0x00a8,16774,0.000569445904
0x00ab,16774,0.000569445904
0x00ac,2,0.000000067896
0x00ae,2,0.000000067896
0x00af,2,0.000000067896
0x00b0,2,0.000000067896
0x00b2,2,0.000000067896
0x00b5,2,0.000000067896
0x00bb,32195,0.001092959990
0x00be,32195,0.001092959990
0x00bf,32195,0.001092959990
0x00c0,32195,0.001092959990
0x00c1,32195,0.001092959990
0x00c2,32195,0.001092959990
0x00c3,32195,0.001092959990
0x00c4,2098,0.000071223173
0x00c5,2098,0.000071223173
0x00c7,2098,0.000071223173
0x00c9,2098,0.000071223173
0x00ca,2098,0.000071223173
0x00cd,2098,0.000071223173
0x00ce,2098,0.000071223173
0x00cf,2098,0.000071223173
0x00d0,2098,0.000071223173
0x00d1,2098,0.000071223173
0x00d2,2098,0.000071223173
0x00d3,2098,0.000071223173
0x00d4,2098,0.000071223173
0x00d6,2098,0.000071223173
0x00d8,2098,0.000071223173
0x00d9,2098,0.000071223173
0x00dc,2098,0.000071223173
0x00dd,2098,0.000071223173
0x00de,2098,0.000071223173
0x00e1,740,0.000025121615
0x00e3,8362,0.000283874249
0x00e6,8362,0.000283874249
0x00e9,8362,0.000283874249
0x00ec,8362,0.000283874249
0x00ef,8362,0.000283874249
0x00f2,8359,0.000283772404
0x00f5,8359,0.000283772404
0x00f8,8359,0.000283772404
0x00fb,8359,0.000283772404
0x00fe,7598,0.000257937879
0x0101,7598,0.000257937879
0x0104,7598,0.000257937879
0x0107,7596,0.000257869982
0x0109,7596,0.000257869982
0x010c,7596,0.000257869982
0x010f,7594,0.000257802086
0x0111,7594,0.000257802086
0x0114,7594,0.000257802086
0x0117,7592,0.000257734190
0x0119,7592,0.000257734190
0x011c,7592,0.000257734190
0x011f,7592,0.000257734190
0x0122,7016,0.000238180068
0x0125,7016,0.000238180068
0x0128,7016,0.000238180068
0x012b,7016,0.000238180068
0x012e,6664,0.000226230327
0x0131,6664,0.000226230327
0x0134,6664,0.000226230327
0x0137,6664,0.000226230327
0x013a,486,0.000016498790
0x0140,102,0.000003462709
0x0143,102,0.000003462709
0x0146,102,0.000003462709
0x0149,102,0.000003462709
0x014c,102,0.000003462709
0x014e,102,0.000003462709
0x014f,102,0.000003462709
0x0151,102,0.000003462709
0x0152,102,0.000003462709
0x0153,102,0.000003462709
0x0154,102,0.000003462709
0x0156,102,0.000003462709
0x0158,102,0.000003462709
0x015b,102,0.000003462709
0x015d,102,0.000003462709
0x015f,102,0.000003462709
0x0161,102,0.000003462709
0x0164,102,0.000003462709
0x0166,102,0.000003462709
0x0167,102,0.000003462709
0x0168,102,0.000003462709
0x016a,102,0.000003462709
0x016b,102,0.000003462709
0x016d,102,0.000003462709
0x016f,102,0.000003462709
0x0172,102,0.000003462709
0x0173,6175,0.000209629692
0x0174,6175,0.000209629692
0x0176,6175,0.000209629692
0x0178,6175,0.000209629692
0x017a,6175,0.000209629692
0x017b,4671,0.000158571707
0x017d,4671,0.000158571707
0x017e,4623,0.000156942197
0x0180,4623,0.000156942197
0x0182,4623,0.000156942197
0x0183,1602,0.000054384902
0x0185,1602,0.000054384902
0x0186,1555,0.000052789339
0x0188,1555,0.000052789339
0x018a,1555,0.000052789339
0x018b,49,0.000001663458
0x018d,49,0.000001663458
0x018e,49,0.000001663458
0x018f,49,0.000001663458
0x0191,49,0.000001663458
0x0192,4,0.000000135793
0x0194,4,0.000000135793
0x0196,1337,0.000045388648
0x0197,1337,0.000045388648
0x0199,1337,0.000045388648
0x019b,1337,0.000045388648
0x019c,1091,0.000037037408
0x019d,1091,0.000037037408
0x019e,1091,0.000037037408
0x01a0,1091,0.000037037408
0x01a1,1091,0.000037037408
0x01a2,1091,0.000037037408
0x01a3,1091,0.000037037408
0x01a5,1091,0.000037037408
0x01a6,1091,0.000037037408
0x01a7,1091,0.000037037408
0x01a8,1091,0.000037037408
0x01ab,1091,0.000037037408
0x01ae,1091,0.000037037408
0x01af,1091,0.000037037408
0x01b0,1091,0.000037037408
0x01b1,1091,0.000037037408
0x01b2,1091,0.000037037408
0x01b3,1091,0.000037037408
0x01b4,1091,0.000037037408
0x01b5,1091,0.000037037408
0x01b6,1091,0.000037037408
0x01b7,1091,0.000037037408
0x01b8,1091,0.000037037408
0x01b9,1091,0.000037037408
0x01ba,1091,0.000037037408
0x01bb,1091,0.000037037408
0x01bd,1091,0.000037037408
0x01be,1091,0.000037037408
0x01c1,13625,0.000462543248
0x01c4,13625,0.000462543248
0x01c5,13625,0.000462543248
0x01c8,1091,0.000037037408
0x01c9,1091,0.000037037408
0x01ca,1091,0.000037037408
0x01d0,3321,0.000112741734
0x01d1,3321,0.000112741734
0x01d2,3321,0.000112741734
0x01d3,3321,0.000112741734
0x01d4,3321,0.000112741734
0x01d6,3321,0.000112741734
0x01d7,3321,0.000112741734
0x01d9,3321,0.000112741734
0x01dc,3321,0.000112741734
0x01dd,3321,0.000112741734
0x01e0,2010,0.000068235738
0x01e1,5,0.000000169741
0x01e4,607,0.000020606514
0x01e7,607,0.000020606514
0x01e9,607,0.000020606514
0x01ed,86346,0.002931285084
0x01ee,86346,0.002931285084
0x01ef,86346,0.002931285084
0x01f0,86346,0.002931285084
0x01f3,86346,0.002931285084
0x01f4,86346,0.002931285084
0x01f7,3321,0.000112741734
0x0200,25136,0.000853320152
0x0201,25136,0.000853320152
0x0202,83,0.000002817695
0x0203,83,0.000002817695
0x0204,83,0.000002817695
0x0205,83,0.000002817695
0x0206,1091,0.000037037408
