area,function,source_file,incoming_calls,outgoing_calls
Frame loop & cabinet,add_galaxies_to_background,hw_video_audio.c,3899,47
Frame loop & cabinet,add_planets_to_background,hw_video_audio.c,3899,27
Frame loop & cabinet,apply_input_script,platform_sdl.c,13935,0
Frame loop & cabinet,bank_swap_to,platform_sdl.c,27,0
Frame loop & cabinet,clear_and_print_scores,hw_video_audio.c,1,10
Frame loop & cabinet,clear_background,hw_video_audio.c,105,87360
Frame loop & cabinet,clear_foreground,hw_video_audio.c,52,37856
Frame loop & cabinet,draw_background_2x2,hw_video_audio.c,13365,120285
Frame loop & cabinet,hw_read_dsw,platform_sdl.c,1069,0
Frame loop & cabinet,hw_read_inputs,platform_sdl.c,13966,0
Frame loop & cabinet,hw_write_scroll_register,platform_sdl.c,7240,0
Frame loop & cabinet,hw_write_sound_a,platform_sdl.c,13861,13861
Frame loop & cabinet,hw_write_sound_b,platform_sdl.c,13861,13861
Frame loop & cabinet,hw_write_video_register,platform_sdl.c,27,27
Frame loop & cabinet,main,platform_sdl.c,0,13936
Frame loop & cabinet,phoenix_main_loop,hw_video_audio.c,0,43350
Frame loop & cabinet,platform_audio_frame_hook,platform_sdl.c,13934,13934
Frame loop & cabinet,platform_ram_dump_hook,platform_sdl.c,13934,13934
Frame loop & cabinet,read_dsw0,hw_video_audio.c,38,38
Frame loop & cabinet,read_in0,hw_video_audio.c,32,32
Frame loop & cabinet,set_bits_video_register,hw_video_audio.c,25,25
Frame loop & cabinet,stars_scroll_down,hw_video_audio.c,4044,30494
Frame loop & cabinet,update_lives_screen,hw_video_audio.c,6,12
Frame loop & cabinet,update_scroll_register_and_fill_background,hw_video_audio.c,3899,11697
Frame loop & cabinet,update_sound_control_ram,hw_video_audio.c,588,0
Frame loop & cabinet,wait_vblank_coin,hw_video_audio.c,13934,41803
Game flow & attract,clear_fore_and_background,attract_mode.c,36,216
Game flow & attract,coin_checking,attract_mode.c,620,620
Game flow & attract,decrement_coins,attract_mode.c,1,4
Game flow & attract,drawNx2,attract_mode.c,1129,9032
