sample,time_seconds,node20,node21,node22,node23,node24,node25,effect1,node30,node31,node32,node33,node34,node35,node36,node37,node38,node39,node40,effect2,node90
0,0.000000000,0.001467390,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000103735,2.348718334,0.000000000,0.000000000,0.000000000,0.000000000
1,0.000008333,0.002930886,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000207468,2.348752456,0.000000000,0.000000000,0.000000000,0.000000000
2,0.000016667,0.004390499,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000311197,2.348786578,0.000000000,0.000000000,0.000000000,0.000000000
3,0.000025000,0.005846240,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000414924,2.348820699,1.944812659,0.000000000,0.000000000,0.000000000
4,0.000033333,0.007298117,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000518648,2.348854818,0.000000000,0.000000000,0.000000000,0.000000000
5,0.000041667,0.008746143,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000622369,2.348888937,0.000000000,0.000000000,0.000000000,0.000000000
6,0.000050000,0.010190327,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000726087,2.348923055,1.394274164,0.000000000,0.000000000,0.000000000
7,0.000058333,0.011630678,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000829803,2.348957172,0.000000000,0.000000000,0.000000000,0.000000000
8,0.000066667,0.013067209,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.000933515,2.348991288,0.000000000,0.000000000,0.000000000,0.000000000
9,0.000075000,0.014499927,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001037225,2.349025403,0.000000000,0.000000000,0.000000000,0.000000000
10,0.000083333,0.015928844,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001140932,2.349059517,1.857719723,0.000000000,0.000000000,0.000000000
11,0.000091667,0.017353970,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001244636,2.349093630,0.000000000,0.000000000,0.000000000,0.000000000
12,0.000100000,0.018775315,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001348337,2.349127743,0.000000000,0.000000000,0.000000000,0.000000000
13,0.000108333,0.020192888,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001452036,2.349161854,1.329073585,0.000000000,0.000000000,0.000000000
14,0.000116667,0.021606700,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001555731,2.349195964,0.000000000,0.000000000,0.000000000,0.000000000
15,0.000125000,0.023016761,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001659424,2.349230074,0.000000000,0.000000000,0.000000000,0.000000000
16,0.000133333,0.024423080,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001763114,2.349264182,0.000000000,0.000000000,0.000000000,0.000000000
17,0.000141667,0.025825669,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001866801,2.349298290,1.772530151,0.000000000,0.000000000,0.000000000
18,0.000150000,0.027224535,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.001970486,2.349332397,0.000000000,0.000000000,0.000000000,0.000000000
19,0.000158333,0.028619690,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002074167,2.349366502,0.000000000,0.000000000,0.000000000,0.000000000
20,0.000166667,0.030011144,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002177846,2.349400607,1.270744071,0.000000000,0.000000000,0.000000000
21,0.000175000,0.031398905,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002281521,2.349434711,0.000000000,0.000000000,0.000000000,0.000000000
22,0.000183333,0.032782984,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002385194,2.349468814,0.000000000,0.000000000,0.000000000,0.000000000
23,0.000191667,0.034163391,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002488864,2.349502916,0.000000000,0.000000000,0.000000000,0.000000000
24,0.000200000,0.035540135,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002592532,2.349537017,1.702457275,0.000000000,0.000000000,0.000000000
25,0.000208333,0.036913227,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002696196,2.349571117,0.000000000,0.000000000,0.000000000,0.000000000
26,0.000216667,0.038282675,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002799858,2.349605216,0.000000000,0.000000000,0.000000000,0.000000000
27,0.000225000,0.039648490,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.002903517,2.349639315,1.226301958,0.000000000,0.000000000,0.000000000
28,0.000233333,0.041010680,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003007173,2.349673412,0.000000000,0.000000000,0.000000000,0.000000000
29,0.000241667,0.042369257,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003110826,2.349707508,0.000000000,0.000000000,0.000000000,0.000000000
30,0.000250000,0.043724228,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003214476,2.349741604,0.000000000,0.000000000,0.000000000,0.000000000
31,0.000258333,0.045075605,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003318124,2.349775699,1.652486566,0.000000000,0.000000000,0.000000000
32,0.000266667,0.046423396,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003421768,2.349809792,0.000000000,0.000000000,0.000000000,0.000000000
33,0.000275000,0.047767611,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003525410,2.349843885,0.000000000,0.000000000,0.000000000,0.000000000
34,0.000283333,0.049108259,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003629049,2.349877977,1.188071452,0.000000000,0.000000000,0.000000000
35,0.000291667,0.050445350,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003732685,2.349912068,0.000000000,0.000000000,0.000000000,0.000000000
36,0.000300000,0.051778894,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003836319,2.349946157,0.000000000,0.000000000,0.000000000,0.000000000
37,0.000308333,0.053108899,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.003939949,2.349980246,0.000000000,0.000000000,0.000000000,0.000000000
38,0.000316667,0.054435375,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004043577,2.350014334,1.611663736,0.000000000,0.000000000,0.000000000
39,0.000325000,0.055758332,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004147202,2.350048422,0.000000000,0.000000000,0.000000000,0.000000000
40,0.000333333,0.057077779,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004250824,2.350082508,0.000000000,0.000000000,0.000000000,0.000000000
41,0.000341667,0.058393725,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004354443,2.350116593,1.135433287,0.000000000,0.000000000,0.000000000
42,0.000350000,0.059706179,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004458059,2.350150677,0.000000000,0.000000000,0.000000000,0.000000000
43,0.000358333,0.061015151,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004561673,2.350184761,0.000000000,0.000000000,0.000000000,0.000000000
44,0.000366667,0.062320649,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004665283,2.350218843,0.000000000,0.000000000,0.000000000,0.000000000
45,0.000375000,0.063622684,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004768891,2.350252925,1.558633907,0.000000000,0.000000000,0.000000000
46,0.000383333,0.064921264,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004872496,2.350287005,0.000000000,0.000000000,0.000000000,0.000000000
47,0.000391667,0.066216399,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.004976099,2.350321085,0.000000000,0.000000000,0.000000000,0.000000000
48,0.000400000,0.067508097,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005079698,2.350355164,1.071967401,0.000000000,0.000000000,0.000000000
49,0.000408333,0.068796368,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005183294,2.350389242,0.000000000,0.000000000,0.000000000,0.000000000
50,0.000416667,0.070081221,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005286888,2.350423318,0.000000000,0.000000000,0.000000000,0.000000000
51,0.000425000,0.071362665,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005390479,2.350457394,0.000000000,0.000000000,0.000000000,0.000000000
52,0.000433333,0.072640709,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005494067,2.350491469,1.499051828,0.000000000,0.000000000,0.000000000
53,0.000441667,0.073915362,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005597652,2.350525544,0.000000000,0.000000000,0.000000000,0.000000000
54,0.000450000,0.075186632,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005701235,2.350559617,0.000000000,0.000000000,0.000000000,0.000000000
55,0.000458333,0.076454530,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005804814,2.350593689,1.006473712,0.006473712,0.011005310,0.001784753
56,0.000466667,0.077719064,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.005908391,2.350627760,0.000000000,1.000000000,1.700000000,0.275692106
57,0.000475000,0.078980242,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006011965,2.350661831,0.000000000,1.000000000,1.700000000,0.275659178
58,0.000483333,0.080238074,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006115536,2.350695900,0.000000000,1.000000000,1.700000000,0.275626254
59,0.000491667,0.081492569,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006219104,2.350729969,1.442000663,1.000000000,1.700000000,0.275593333
60,0.000500000,0.082743735,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006322670,2.350764036,0.000000000,1.000000000,1.700000000,0.275560416
61,0.000508333,0.083991582,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006426233,2.350798103,0.000000000,1.000000000,1.700000000,0.275527502
62,0.000516667,0.085236117,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006529792,2.350832169,0.000000000,1.000000000,1.700000000,0.275494592
63,0.000525000,0.086477351,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006633349,2.350866233,1.922480005,1.000000000,1.700000000,0.275461686
64,0.000533333,0.087715291,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006736903,2.350900297,0.000000000,1.000000000,1.700000000,0.275428784
65,0.000541667,0.088949946,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006840455,2.350934360,0.000000000,1.000000000,1.700000000,0.275395885
66,0.000550000,0.090181326,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.006944003,2.350968422,1.374721891,1.000000000,1.700000000,0.275362990
67,0.000558333,0.091409438,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.007047549,2.351002483,0.000000000,1.000000000,1.700000000,0.275330098
